Network,Algorithm,Sequence,NMI,Index_Higher,Iterations
network1,infomap,6,0.8816082909303418,25,50
network1,greedy,6,0.4802860439712591,0,50
network1,async_lpa,6,0.8792579831448579,0,50
network1,RC,7,0.7909518552076773,0,50
network1,louvain,7,0.490815496214731,17,50
network1,infomap,7,0.8816082909303418,25,50
network1,greedy,7,0.4695900342729864,0,50
network1,async_lpa,7,0.8792579831448579,0,50
network1,RC,8,0.7955975380115886,0,50
network1,louvain,8,0.5787507962004196,15,50
network1,infomap,8,0.8815260654890946,24,50
network1,greedy,8,0.40076088441473884,0,50
network1,async_lpa,8,0.8792579831448579,0,50
network1,RC,9,0.7942324911753087,0,50
network1,louvain,9,0.45024184926813654,32,50
network1,infomap,9,0.8816919110070686,23,50
network1,greedy,9,0.47337279797784304,0,50
network1,async_lpa,9,0.8792579831448579,0,50
network1,RC,10,0.7932491439738982,0,50
network1,louvain,10,0.5670926827094105,43,50
network1,infomap,10,0.8816082909303418,25,50
network1,greedy,10,0.27470969482067104,2,50
network1,async_lpa,10,0.8792579831448579,0,50
network1,RC,11,0.7900999491038738,0,50
network1,louvain,11,0.4625246204723234,17,50
network1,infomap,11,0.8816082909303418,25,50
network1,greedy,11,0.3755581650737642,2,50
network1,async_lpa,11,0.8792579831448579,0,50
network1,RC,12,0.791829123005972,0,50
network1,louvain,12,0.5438306348249388,7,50
network1,infomap,12,0.881590242000838,27,50
network1,greedy,12,0.3052711778288974,2,50
network1,async_lpa,12,0.8792579831448579,0,50
network1,RC,13,0.7932505316473972,0,50
network1,louvain,13,0.49474688974728503,1,50
network1,infomap,13,0.8816930607154977,22,50
network1,greedy,13,0.4424911547553378,2,50
network1,async_lpa,13,0.8792579831448579,0,50
network1,RC,14,0.7925215030352791,0,50
network1,louvain,14,0.47386676274590334,34,50
network1,infomap,14,0.881590242000838,27,50
network1,greedy,14,0.39111888379669724,2,50
network1,async_lpa,14,0.8792579831448579,0,50
network1,RC,15,0.7907957297033538,0,50
network1,louvain,15,0.4706082908762866,40,50
network1,infomap,15,0.8816888162089195,37,50
network1,greedy,15,0.4695400185707838,5,50
network1,async_lpa,15,0.8792579831448579,0,50
network1,RC,16,0.7912310918653659,0,50
network1,louvain,16,0.5545337395309061,29,50
network1,infomap,16,0.8816082909303418,25,50
network1,greedy,16,0.47031927119413197,5,50
network1,async_lpa,16,0.8792579831448579,0,50
network1,RC,17,0.7931093770798439,0,50
network1,louvain,17,0.5337552584705574,10,50
network1,infomap,17,0.8816082909303418,25,50
network1,greedy,17,0.39111888379669724,5,50
network1,async_lpa,17,0.8792579831448579,0,50
network1,RC,18,0.7941648436517571,0,50
network1,louvain,18,0.5521166894170081,15,50
network1,infomap,18,0.8816294857113872,28,50
network1,greedy,18,0.2724073833586042,5,50
network1,async_lpa,18,0.8792579831448579,0,50
network1,RC,19,0.7924324555644173,0,50
network1,louvain,19,0.5718091499488457,27,50
network1,infomap,19,0.8816082909303418,25,50
network1,greedy,19,0.3514676861444747,5,50
network1,async_lpa,19,0.8792579831448579,0,50
network1,RC,0,0.8046442575849881,0,100
network1,louvain,0,0.3853556054299793,95,100
network1,infomap,0,0.8815531067454199,71,100
network1,greedy,0,0.374828116902954,1,100
network1,async_lpa,0,0.8777772836121429,61,100
network1,RC,1,0.8044605531489661,0,100
network1,louvain,1,0.4859481653576273,18,100
network1,infomap,1,0.8815531067454199,72,100
network1,greedy,1,0.26691326172866764,1,100
network1,async_lpa,1,0.8777772836121429,61,100
network1,RC,2,0.8063381428413767,0,100
network1,louvain,2,0.5744270176543146,81,100
network1,infomap,2,0.8816868370093341,73,100
network1,greedy,2,0.4144827892677258,1,100
network1,async_lpa,2,0.8777772836121429,61,100
network1,RC,3,0.806264886053477,0,100
network1,louvain,3,0.45138658532323317,61,100
network1,infomap,3,0.8815531067454199,72,100
network1,greedy,3,0.47337279797784304,1,100
network1,async_lpa,3,0.8777772836121429,61,100
network1,RC,4,0.8043488103466314,0,100
network1,louvain,4,0.47495393353057674,77,100
network1,infomap,4,0.8815531067454199,72,100
network1,greedy,4,0.4803451782342191,1,100
network1,async_lpa,4,0.8777772836121429,61,100
network1,RC,5,0.8044693786555815,0,100
network1,louvain,5,0.5558937568492139,39,100
network1,infomap,5,0.8815531067454199,72,100
network1,greedy,5,0.26695911434835434,0,100
network1,async_lpa,5,0.8777772836121429,61,100
network1,RC,6,0.8061757523066401,0,100
network1,louvain,6,0.5548484202343168,70,100
network1,infomap,6,0.8815531067454199,72,100
network1,greedy,6,0.4802860439712591,0,100
network1,async_lpa,6,0.8777772836121429,61,100
network1,RC,7,0.8065921355245982,0,100
network1,louvain,7,0.490815496214731,17,100
network1,infomap,7,0.8816868370093341,72,100
network1,greedy,7,0.4695900342729864,0,100
network1,async_lpa,7,0.8777772836121429,61,100
network1,RC,8,0.8066228210530129,0,100
network1,louvain,8,0.5787507962004196,15,100
network1,infomap,8,0.881569383737263,71,100
network1,greedy,8,0.40076088441473884,0,100
network1,async_lpa,8,0.8777772836121429,61,100
network1,RC,9,0.8044065274466742,0,100
network1,louvain,9,0.5581981595884205,76,100
network1,infomap,9,0.8815531067454199,72,100
network1,greedy,9,0.47337279797784304,0,100
network1,async_lpa,9,0.8777772836121429,61,100
network1,RC,10,0.8048836665218317,0,100
network1,louvain,10,0.5390408608740155,99,100
network1,infomap,10,0.8815569292504599,74,100
network1,greedy,10,0.27470969482067104,2,100
network1,async_lpa,10,0.8777772836121429,61,100
network1,RC,11,0.8043665073814869,0,100
network1,louvain,11,0.4602188554765032,53,100
network1,infomap,11,0.8815531067454199,72,100
network1,greedy,11,0.3755581650737642,2,100
network1,async_lpa,11,0.8777772836121429,61,100
network1,RC,12,0.8063999181430362,0,100
network1,louvain,12,0.4615448814860835,58,100
network1,infomap,12,0.8815531067454199,72,100
network1,greedy,12,0.3052711778288974,2,100
network1,async_lpa,12,0.8777772836121429,61,100
