Network,Algorithm,Iterations,mean,std
network9,RC,50,0.8189605660698334,0.0021849872678299065
network9,RC,100,0.8375834080818597,0.0016835014639648256
network9,async_lpa,10,0.8328685814140281,0.0
network9,async_lpa,50,0.8328685814140281,0.0
network9,async_lpa,100,0.8374145700240616,0.0
network9,greedy,10,0.08780538848800731,0.020622330362703497
network9,greedy,50,0.08780538848800731,0.020622330362703497
network9,greedy,100,0.08780538848800731,0.020622330362703497
network9,infomap,10,0.8767888423269025,0.0002614239938897437
network9,infomap,50,0.8765649716367022,0.0006892834652054295
network9,infomap,100,0.8764542162307452,0.0010662356598334865
network9,louvain,10,0.60943350878565,0.0712241153835455
network9,louvain,50,0.5894069554650639,0.08189497835252649
network9,louvain,100,0.5743320926404091,0.07308224583767935
