Network,Algorithm,Iterations,Sequence,NMI,Index_Higher
network9,RC,1000,9.5,0.8591623510624208,0.0
network9,async_lpa,10,9.5,0.6977624489927712,3.0
network9,async_lpa,100,9.5,0.0,24.0
network9,async_lpa,1000,9.5,0.6677462782951519,115.0
network9,greedy,10,9.5,0.71678966684622,3.05
network9,greedy,100,9.5,0.7188703768833838,41.8
network9,greedy,1000,9.5,0.7212796898341146,91.15
network9,infomap,10,9.5,0.829558632117892,5.65
network9,infomap,100,9.5,0.8407201856572749,18.35
network9,infomap,1000,9.5,0.825443778476175,440.65
network9,louvain,10,9.5,0.8478220813561717,3.85
network9,louvain,100,9.5,0.8432278576255039,50.3
network9,louvain,1000,9.5,0.8395508813439847,579.7
