id,eigenvector_centrality,eigenvector_centrality_weighted,pagerank,degree_centrality,core_number,closeness_centrality,clustering_coefficient,vertex_betweenes
fru-F-300114,0.000304532701960685,1.7353169292824713e-06,5.6103555279633155e-05,0.008341289382443093,109,0.36686575968735025,0.0018287856835564214,6.950317794016085e-06
Gad1-F-900618,0.0003057435827708784,4.558320420782101e-07,3.219406769046271e-05,0.0045726345409778405,76,0.3569878199723752,0.0003151800526807044,8.888292019349965e-06
TH-F-300085,1.0794102321812289e-06,1.287883930394105e-10,7.589748503110318e-06,0.0009044771619516607,18,0.26384451191218,0.001128830648292205,2.59034872633614e-08
Gad1-F-100535,0.0002097794363475541,7.505434766383271e-08,2.3864618610012354e-05,0.003768654841465253,70,0.3665076704911693,0.00022300765321345132,1.6725316208933978e-06
Gad1-F-500758,6.094999617014026e-05,2.915245906583634e-08,1.567510547049762e-05,0.0016582081302447113,29,0.32570661691298014,0.00012405225997985325,3.7151473033526346e-06
Cha-F-100319,0.0003799618072868518,5.137956238108778e-07,2.2874865505305488e-05,0.005426862971709964,95,0.3577257693413863,0.0004474615817952576,1.5576110368090834e-05
Gad1-F-900465,5.487906364266115e-05,2.8343414046691643e-08,2.3204899148846673e-05,0.0012562182804884176,24,0.3285945446139621,0.0002551870357500011,3.7620698473174877e-07
Trh-F-200013,0.00030908156838727356,1.144334420535111e-06,9.740555706916024e-05,0.010250741168785488,109,0.36851656389459847,0.001125788412657205,2.379783649274314e-05
VGlut-F-600586,0.00023353926742456302,1.0741216299422433e-07,1.58723740261333e-05,0.0045726345409778405,80,0.35758436051317066,0.0005545177986390398,3.1846823299175585e-05
Gad1-F-700416,0.0003567170659480196,1.4049393138936736e-07,5.93104132561409e-05,0.012260690417566956,150,0.35624015466132036,0.00026449978822305043,9.02866664135347e-06
Gad1-F-700438,0.000189341201411048,7.728061762810621e-08,1.5092350014403766e-05,0.003115421335611276,59,0.34778581664394814,0.00039777225574946974,7.935912056809848e-06
fru-F-700177,0.0002456400075587068,3.8009785695910867e-07,0.00011017549367813755,0.01356715742927491,109,0.36629854592306277,0.0009836863573368035,4.5006604207494904e-05
VGlut-F-600276,0.00014248124430274442,8.775493461355935e-08,1.1715683071308032e-05,0.0016582081302447113,33,0.35413552566018935,0.00040465073190289094,8.778983217577027e-07
Gad1-F-700299,0.0004581634603854467,2.1091164864057052e-07,5.663475749320419e-05,0.013014421385860007,150,0.37056140024206313,0.00023352380454690189,1.7695689176154993e-05
Gad1-F-500497,0.00011246178592867948,2.5137707052456224e-07,2.1540849433900565e-05,0.002914426410733129,56,0.3278961329972155,0.0005870818373075521,2.2642709840757144e-06
TH-F-400006,1.3037633164492591e-06,7.931602135993139e-11,1.0079474465146813e-05,0.0014572132053665644,29,0.2724261132633366,0.0009283051521078559,3.397346848704961e-06
Gad1-F-500792,3.700253232815241e-06,1.2870075315739936e-09,9.279141518804087e-06,0.0012562182804884176,24,0.29341255565712265,0.0007808192490712485,3.600732382094528e-07
Gad1-F-800266,0.00012583058565228118,2.2689720362708522e-07,1.7149805749395426e-05,0.0033666649917089594,59,0.3403916873343026,0.0001698236104697167,4.130450607757548e-06
Gad1-F-500469,0.00028514363335626914,4.244032011877081e-07,1.450937109108101e-05,0.009044771619516606,140,0.3479986710266319,0.00029153848062235017,1.3563880101071033e-05
Cha-F-400320,3.9427347481654535e-05,3.884221978413493e-08,1.2275214236648143e-05,0.0038189035726847896,68,0.30947826763082187,0.0006311549173539713,8.020015586660038e-06
Trh-F-400086,0.00042153053003785533,2.3109628464331905e-06,0.00022517481652375483,0.01924526405708256,109,0.3723083830654968,0.0008964504971616504,0.00044132613471374046
VGlut-F-400364,0.00029310579948917527,1.589238638020746e-07,2.5591792293092434e-05,0.003919401035123863,71,0.36902907580477673,0.000310034797122759,1.1644331102397504e-05
Gad1-F-300441,0.00035207313267325205,3.504359112141709e-07,3.256930826796088e-05,0.011858700567810663,150,0.3595028632331954,0.0002303132185610862,2.092640820178197e-05
